All Transactions Announced Date,Target/Issuer,Transaction Types,Transaction Status,Buyers/Investors,Sellers/Sponsor,CIQ Transaction ID,First Trade Date [1/1/2015-12/7/2020] [Primary Listing] [Target/Issuer],Company Status [Target/Issuer]
07/11/2016,"Bally, Corp. (OTCPK:BLYQ)",Merger/Acquisition,Closed,"Aureas Capital Co., Ltd.",-,IQTR378067502,"OTCPK:BLYQ
Company: Bally, Corp.
(IQT278101791) - 10/22/2018",Operating
09/15/2020,Baltic I Acquisition Corp. (TSXV:BLTC.P),Merger/Acquisition,Announced,Alpha Exploration Limited,-,IQTR688561320,"TSXV:BLTC.P
Company: Baltic I Acquisition Corp.
(IQT637537136) - 3/23/2020",Operating
01/09/2018,Barington/Hilco Acquisition Corp.,Merger/Acquisition,Effective,"Sweiss Ventures, LLC; Pla 99, LLC; BAG Spac 1, LLC; DMZ1 Holdings, LLC; Oreva Partners, LLC","Hilco Merchant Resources LLC; Barington Companies Advisors, LLC",IQTR548982643,"OTCPK:BHAC
Company: Barington/Hilco Acquisition Corp.
(IQT287409658) - 3/17/2015",Operating
05/15/2017,Barington/Hilco Acquisition Corp.,Merger/Acquisition,Cancelled,Oomba GameWorks,"Woodland Partners; EarlyBirdCapital, Inc.; Hilco Trading, LLC; K2 & Associates Investment Management Inc.",IQTR431073116,"OTCPK:BHAC
Company: Barington/Hilco Acquisition Corp.
(IQT287409658) - 3/17/2015",Operating
10/14/2020,Battery Road Capital Corp. (TSXV:BTRY.P),Merger/Acquisition,Announced,E-Tech Kalapuse Mining (Pty) Ltd.,-,IQTR691853177,"TSXV:BTRY.P
Company: Battery Road Capital Corp.
(IQT572191630) - 10/3/2018",Operating
08/04/2020,BB1 Acquisition Corp. (TSXV:BBA.P),Merger/Acquisition,Announced,Cerrado Gold Inc.,-,IQTR682086897,"TSXV:BBA.P
Company: BB1 Acquisition Corp.
(IQT576454455) - 2/3/2020",Operating
01/24/2019,BB1 Acquisition Corp. (TSXV:BBA.P),Merger/Acquisition,Cancelled,PLANTEXT Ltd.,-,IQTR599818807,"TSXV:BBA.P
Company: BB1 Acquisition Corp.
(IQT576454455) - 2/3/2020",Operating
03/27/2020,Big Dougie Capital Corp.,Merger/Acquisition,Closed,Stuve Gold Corp. (TSXV:STUV),-,IQTR661027014,"TSXV:STUV.P
Company: Big Dougie Capital Corp.
(IQT553666924) - 7/27/2018",Acquired
05/13/2019,Big Dougie Capital Corp.,Merger/Acquisition,Cancelled,LaSanta Botanicals Ltd.,-,IQTR613283350,"TSXV:STUV.P
Company: Big Dougie Capital Corp.
(IQT553666924) - 7/27/2018",Acquired
05/24/2018,"Big Time Holdings, Inc.",Merger/Acquisition,Closed,Palewater Global Management Inc.,-,IQTR567482103,"OTCPK:BTHI
Company: Big Time Holdings, Inc.
(IQT552992031) - 2/23/2018",Operating Subsidiary
09/12/2018,Bison Capital Acquisition Corp.,Merger/Acquisition,Closed,"Xynomic Pharmaceuticals Holdings, Inc. (OTCPK:XYNO)",-,IQTR580934459,"NasdaqCM:XYN
Company: Bison Capital Acquisition Corp.
(IQT531181289) - 7/18/2017",Acquired
11/09/2020,Black Lion Capital Corp. (TSXV:BLC.H),Merger/Acquisition,Announced,2204901 Ontario Inc,-,IQTR695548420,"TSXV:BLC.H
Company: Black Lion Capital Corp.
(IQT328468728) - 5/5/2016",Operating
08/08/2016,Black Lion Capital Corp. (TSXV:BLC.H),Merger/Acquisition,Cancelled,Thomson Power Inc.,-,IQTR379373407,"TSXV:BLC.H
Company: Black Lion Capital Corp.
(IQT328468728) - 5/5/2016",Operating
12/19/2018,Black Ridge Acquisition Corp.,Merger/Acquisition,Closed,Allied Esports Entertainment Inc. (NasdaqCM:AESE),"Black Ridge Oil & Gas, Inc. (OTCPK:ANFC)",IQTR595648360,"NasdaqCM:AESE
Company: Black Ridge Acquisition Corp.
(IQT529770956) - 10/25/2017",Acquired
04/06/2018,Blue Bay Capital Inc.,Merger/Acquisition,Closed,Specialty Liquid Transportation Corp. (TSXV:SLT),"SNJ Capital Ltd., Asset Management Arm",IQTR558425561,"TSXV:BLUE.P
Company: Blue Bay Capital Inc.
(IQT534023564) - 3/16/2018",Acquired
02/25/2019,BMGB Capital Corp. (TSXV:BMGB.P),Merger/Acquisition,Cancelled,-,-,IQTR604206914,"TSXV:BMGB.P
Company: BMGB Capital Corp.
(IQT589553593) - 11/8/2018",Operating
03/21/2013,"Bnet Media Group, Inc. (OTCPK:BNTT)",Merger/Acquisition,Closed,-,-,IQTR232691688,"OTCPK:BNTT
Company: Bnet Media Group, Inc.
(IQT538959144) - 5/3/2018",Operating
12/03/2012,"Bnet Media Group, Inc. (OTCPK:BNTT)",Merger/Acquisition,Announced,"bNET Communications, Inc. and EFactor Corp.",-,IQTR224869528,"OTCPK:BNTT
Company: Bnet Media Group, Inc.
(IQT538959144) - 5/3/2018",Operating
09/05/2012,"Bnet Media Group, Inc. (OTCPK:BNTT)",Merger/Acquisition,Closed,-,-,IQTR216640759,"OTCPK:BNTT
Company: Bnet Media Group, Inc.
(IQT538959144) - 5/3/2018",Operating
09/05/2012,"Bnet Media Group, Inc. (OTCPK:BNTT)",Merger/Acquisition,Closed,-,-,IQTR216642990,"OTCPK:BNTT
Company: Bnet Media Group, Inc.
(IQT538959144) - 5/3/2018",Operating
04/29/2020,Bold Capital Enterprises Ltd. (TSXV:BOLD.P),Merger/Acquisition,Announced,Dymedso Inc.,-,IQTR665989050,"TSXV:BOLD.P
Company: Bold Capital Enterprises Ltd.
(IQT594154733) - 4/23/2019",Operating
08/16/2017,Boulevard Acquisition Corp. II,Merger/Acquisition,Closed,"Estre Ambiental, Inc. (OTCPK:ESTR.F)","Glazer Capital, LLC; Basso Capital Management, L.P.; BlueMountain Capital Management LLC; Polar Asset Management Partners Inc.; Hudson Bay Capital Management LP; Castle Creek Arbitrage, LLC; Alyeska Investment Group, L.P.; Cowen Investment Management LLC; Periscope Capital Inc",IQTR534415544,"NasdaqGM:BLVD
Company: Boulevard Acquisition Corp. II
(IQT316581388) - 11/16/2015",Acquired
08/17/2020,Brachium Capital Corp. (TSXV:BRAC.P),Merger/Acquisition,Announced,WeCommerce Holdings Ltd.,-,IQTR684162324,"TSXV:BRAC.P
Company: Brachium Capital Corp.
(IQT633214953) - 12/10/2019",Operating
03/29/2017,Brassneck Capital Corp.,Merger/Acquisition,Closed,Meta Growth Corp. (TSXV:META),-,IQTR424996496,"TSXV:BC.P
Company: Brassneck Capital Corp.
(IQT319652950) - 5/12/2016",Acquired
08/02/2019,Brockton Ventures Inc.,Merger/Acquisition,Closed,TGS Esports Inc. (TSXV:TGS),-,IQTR631929723,"TSXV:BROC.P
Company: Brockton Ventures Inc.
(IQT554509925) - 10/31/2018",Acquired
08/18/2020,Buckhaven Capital Corp. (TSXV:BKH.P),Merger/Acquisition,Announced,"1254688 B.C. Ltd./Ag-Mining Investments, AB",-,IQTR684242797,"TSXV:BKH.P
Company: Buckhaven Capital Corp.
(IQT600731276) - 6/27/2019",Operating
08/09/2017,Buffalo Capital Inc.,Merger/Acquisition,Closed,Waverley Pharma Inc. (TSXV:WAVE),-,IQTR533780357,"TSXV:WAVE
Company: Buffalo Capital Inc.
(IQT429034209) - 5/9/2017",Acquired
08/07/2020,BuzBuz Capital Corp. (TSXV:BZBZ.P),Merger/Acquisition,Announced,Inolife R&D Inc.,-,IQTR682990424,"TSXV:BZBZ.P
Company: BuzBuz Capital Corp.
(IQT606024527) - 5/30/2019",Operating
07/19/2019,BuzBuz Capital Corp. (TSXV:BZBZ.P),Merger/Acquisition,Cancelled,iLLUMA - Drive Inc.,-,IQTR630113215,"TSXV:BZBZ.P
Company: BuzBuz Capital Corp.
(IQT606024527) - 5/30/2019",Operating
05/18/2020,Buzz Capital Inc. (TSXV:BUZ.P),Merger/Acquisition,Cancelled,Novamind Ventures Inc.,-,IQTR668510679,"TSXV:BUZ.P
Company: Buzz Capital Inc.
(IQT534950474) - 8/21/2017",Operating
03/16/2018,Buzz Capital Inc. (TSXV:BUZ.P),Merger/Acquisition,Cancelled,KAYA Inc.,"Huge, LLC; 2551448 Ontario Inc.; 2561352 Ontario Inc",IQTR556488947,"TSXV:BUZ.P
Company: Buzz Capital Inc.
(IQT534950474) - 8/21/2017",Operating
04/11/2019,Califfi Capital Corp. (TSXV:CFI.P),Merger/Acquisition,Cancelled,Fenix Gold Inc.,-,IQTR610040565,"TSXV:CFI.P
Company: Califfi Capital Corp.
(IQT424147168) - 7/21/2017",Operating
08/01/2018,CanadaBis Capital Inc.,Merger/Acquisition,Closed,CanadaBis Capital Inc. (TSXV:CANB),-,IQTR576053552,"TSXV:CANB
Company: CanadaBis Capital Inc.
(IQT416905614) - 3/10/2017",Acquired
01/19/2018,CanadaBis Capital Inc.,Merger/Acquisition,Cancelled,"Applied Data Finance, LLC",-,IQTR550120177,"TSXV:CANB
Company: CanadaBis Capital Inc.
(IQT416905614) - 3/10/2017",Acquired
10/17/2018,Cannabis Strategies Acquisition Corp.,Merger/Acquisition,Closed,Ayr Strategies Inc. (CNSX:AYR.A),-,IQTR587164906,"OTCPK:CBAQ.F
Company: Cannabis Strategies Acquisition Corp.
(IQT544425032) - 5/17/2018",Acquired
09/23/2020,Cann-Is Capital Corp. (TSXV:NIS.P),Merger/Acquisition,Announced,CWE European Holdings Ltd.,-,IQTR689615692,"TSXV:NIS.P
Company: Cann-Is Capital Corp.
(IQT578638923) - 9/24/2018",Operating
12/18/2015,Cantabio Pharmaceuticals Inc.,Merger/Acquisition,Closed,Cantabio Pharmaceuticals Inc. (OTCPK:CTBO),-,IQTR319864242,"OTCPK:CTBO
Company: Cantabio Pharmaceuticals Inc.
(IQT320230183) - 11/16/2015",Acquired
07/29/2014,Cantabio Pharmaceuticals Inc.,Merger/Acquisition,Closed,-,-,IQTR269347276,"OTCPK:CTBO
Company: Cantabio Pharmaceuticals Inc.
(IQT320230183) - 11/16/2015",Acquired
02/15/2019,Canvass Ventures Ltd.,Merger/Acquisition,Closed,Nanalysis Scientific Corp. (TSXV:NSCI),-,IQTR602899980,"TSXV:CVS.P
Company: Canvass Ventures Ltd.
(IQT428110437) - 6/29/2017",Acquired
02/14/2018,Canvass Ventures Ltd.,Merger/Acquisition,Cancelled,Sessionwire Communications Inc.,-,IQTR552888657,"TSXV:CVS.P
Company: Canvass Ventures Ltd.
(IQT428110437) - 6/29/2017",Acquired
04/10/2017,"CAPE-ES Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"Chemtros Co., Ltd. (KOSDAQ:A220260)","ES Investor Co., Ltd.; Hanwool Co., Ltd.",IQTR427200499,"KOSDAQ:A220260
Company: CAPE-ES Special Purpose Acquisition Co., Ltd.
(IQT306832663) - 7/27/2015",Acquired
07/28/2015,"CAPE-ES Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"Hanwool Co., Ltd.",-,IQTR307850915,"KOSDAQ:A220260
Company: CAPE-ES Special Purpose Acquisition Co., Ltd.
(IQT306832663) - 7/27/2015",Acquired
11/09/2016,Capital for Progress 1 S.p.A.,Merger/Acquisition,Closed,4AIM SICAF S.p.A. (BIT:4AIM),-,IQTR409120731,"N/A
Company: Capital for Progress 1 S.p.A.
(IQT306696313) - 8/4/2015",Operating Subsidiary
09/05/2016,Capital for Progress 1 S.p.A.,Merger/Acquisition,Closed,GPI SpA (BIT:GPI),"Banca IMI SpA, Investment Banking Arm; Unione di Banche Italiane Scpa, Asset Management Arm",IQTR414029598,"N/A
Company: Capital for Progress 1 S.p.A.
(IQT306696313) - 8/4/2015",Operating Subsidiary
03/20/2017,Capitol Acquisition Corp. III,Merger/Acquisition,Closed,Cision Ltd.,"Fir Tree Partners; Moore Capital Management, LP; Highbridge Capital Management, LLC; Glazer Capital, LLC; BlueMountain Capital Management LLC; Polar Asset Management Partners Inc.; Hudson Bay Capital Management LP; Alyeska Investment Group, L.P.; Hutchin Hill Capital, LP; Arrowgrass Capital Partners LLP; Periscope Capital Inc; Rotation Capital Management, LP",IQTR423957867,"NasdaqCM:CLAC
Company: Capitol Acquisition Corp. III
(IQT318780946) - 12/9/2015",Acquired
04/08/2019,Capitol Investment Corp. IV,Merger/Acquisition,Closed,"Nesco Holdings, Inc. (NYSE:NSCO)",-,IQTR609585938,"NYSE:CIC
Company: Capitol Investment Corp. IV
(IQT539456152) - 10/6/2017",Acquired
08/09/2019,Caprice Business Development Canada Inc.,Merger/Acquisition,Closed,Leaf Mobile Inc. (TSXV:LEAF),-,IQTR632891648,"TSXV:CAPB.P
Company: Caprice Business Development Canada Inc.
(IQT608789699) - 7/22/2019",Acquired
12/18/2017,Carlaw Capital V Corp.,Merger/Acquisition,Closed,Eve & Co Incorporated (TSXV:EVE),Capit Investment Corp.; Cinquedea Corp.,IQTR546940878,"TSXV:CVC.H
Company: Carlaw Capital V Corp.
(IQT275147836) - 3/2/2015",Acquired
05/29/2017,Carlaw Capital V Corp.,Merger/Acquisition,Cancelled,Charrua Hydrocarbons Company Ltd,Capit Investment Corp.,IQTR432458459,"TSXV:CVC.H
Company: Carlaw Capital V Corp.
(IQT275147836) - 3/2/2015",Acquired
06/01/2020,Cassowary Capital Corporation Limited,Merger/Acquisition,Closed,Western Gold Exploration Limited (TSXV:WGLD),Smaller Company Capital Ltd.; Mdcgn Ltd,IQTR670873760,"TSXV:BIRD.P
Company: Cassowary Capital Corporation Limited
(IQT570484746) - 9/13/2018",Acquired
11/22/2018,Cassowary Capital Corporation Limited,Merger/Acquisition,Cancelled,Lobo Genetics Inc.,-,IQTR592359769,"TSXV:BIRD.P
Company: Cassowary Capital Corporation Limited
(IQT570484746) - 9/13/2018",Acquired
07/31/2020,Castlebar Capital Corp. (TSXV:CBAR.P),Merger/Acquisition,Cancelled,Tellyo Oy,-,IQTR681875569,"TSXV:CBAR.P
Company: Castlebar Capital Corp.
(IQT592416169) - 7/2/2019",Operating
06/13/2019,Castlecap Capital Inc. (TSXV:CSTL.P),Merger/Acquisition,Cancelled,Plexus Technology Corp.,-,IQTR621078982,"TSXV:CSTL.P
Company: Castlecap Capital Inc.
(IQT595425883) - 3/19/2020",Operating
10/14/2020,CC Neuberger Principal Holdings I (NYSE:PCPL),Merger/Acquisition,Announced,"E2open, LLC",-,IQTR691692359,"NYSE:PCPL
Company: CC Neuberger Principal Holdings I
(IQT665335038) - 6/15/2020",Operating
06/18/2019,CE Brands Inc. (TSXV:CEBI.P),Merger/Acquisition,Announced,eBuyNow eCommerce Limited,-,IQTR622864423,"TSXV:CEBI.P
Company: CE Brands Inc.
(IQT602555468) - 5/23/2019",Operating
08/02/2020,CF Finance Acquisition Corp.,Merger/Acquisition,Closed,GCM Grosvenor Inc. (NasdaqGM:GCMG),"Glazer Capital, LLC; AQR Capital Management, LLC; Adage Capital Management, L.P.; Hudson Bay Capital Management LP; MM Asset Management Inc",IQTR681880146,"NasdaqCM:CFFA
Company: CF Finance Acquisition Corp.
(IQT600189663) - 2/5/2019",Acquired
11/30/2020,CF Finance Acquisition Corp. II (NasdaqCM:CFII),Merger/Acquisition,Announced,"View, Inc.",-,IQTR696503690,"NasdaqCM:CFII
Company: CF Finance Acquisition Corp. II
(IQT691712457) - 10/19/2020",Operating
05/07/2019,ChaiNode Opportunities Corp.,Merger/Acquisition,Closed,Doré Copper Mining Corp. (TSXV:DCMC),-,IQTR612702797,"TSXV:CXD.P
Company: ChaiNode Opportunities Corp.
(IQT578209465) - 1/24/2019",Acquired
08/19/2020,Challenger Acquisitions Limited (LSE:CHAL),Merger/Acquisition,Announced,Cindrigo Ltd.,-,IQTR684342785,"LSE:CHAL
Company: Challenger Acquisitions Limited
(IQT285454418) - 2/19/2015",Operating
07/16/2019,Chardan Healthcare Acquisition Corp.,Merger/Acquisition,Closed,BiomX Inc. (AMEX:PHGE),-,IQTR629714842,"AMEX:PHGE
Company: Chardan Healthcare Acquisition Corp.
(IQT592931131) - 3/13/2019",Acquired
11/13/2019,ChaSerg Technology Acquisition Corp.,Merger/Acquisition,Closed,"Grid Dynamics Holdings, Inc. (NasdaqCM:GDYN)",-,IQTR644099373,"NasdaqCM:GDYN
Company: ChaSerg Technology Acquisition Corp.
(IQT589420002) - 10/30/2018",Acquired
10/30/2020,Cherry Street Capital Inc. (TSXV:CHSC.P),Merger/Acquisition,Announced,Bazinga Technologies Inc.,-,IQTR693593671,"TSXV:CHSC.P
Company: Cherry Street Capital Inc.
(IQT550032496) - 11/1/2018",Operating
01/14/2019,Churchill Capital Corp,Merger/Acquisition,Closed,Clarivate Plc (NYSE:CCC),-,IQTR598327721,"NYSE:CCC
Company: Churchill Capital Corp
(IQT579348955) - 10/29/2018",Acquired
07/13/2020,Churchill Capital Corp III,Merger/Acquisition,Closed,MultiPlan Corporation (NYSE:MPLN),-,IQTR676788302,"NYSE:CCXX
Company: Churchill Capital Corp III
(IQT652929398) - 4/3/2020",Acquired
11/18/2020,CIIG Merger Corp. (NasdaqCM:CIIC),Merger/Acquisition,Announced,Arrival Ltd,-,IQTR695372212,"NasdaqCM:CIIC
Company: CIIG Merger Corp.
(IQT653141205) - 2/3/2020",Operating
09/13/2018,Cinaport Acquisition Corp. II,Merger/Acquisition,Closed,Fire & Flower Holdings Corp. (TSX:FAF),-,IQTR580998367,"TSXV:CPQ.P
Company: Cinaport Acquisition Corp. II
(IQT558231413) - 6/7/2018",Acquired
11/06/2018,CM Seven Star Acquisition Corporation,Merger/Acquisition,Closed,Kaixin Auto Holdings (NasdaqCM:KXIN),-,IQTR590438902,"NasdaqCM:KXIN
Company: CM Seven Star Acquisition Corporation
(IQT542819419) - 11/6/2017",Acquired
08/18/2020,Collingwood Resources Corp. (TSXV:COLL.P),Merger/Acquisition,Announced,Forte Copper Corp.,-,IQTR684291142,"TSXV:COLL.P
Company: Collingwood Resources Corp.
(IQT207426050) - 5/18/2018",Operating
11/30/2020,Colson Capital Corp. (TSXV:COLS.P),Merger/Acquisition,Announced,Pathway Health Corp.,-,IQTR696718095,"TSXV:COLS.P
Company: Colson Capital Corp.
(IQT536894858) - 9/12/2017",Operating
06/05/2018,Colson Capital Corp. (TSXV:COLS.P),Merger/Acquisition,Cancelled,Honest Inc.,-,IQTR569829160,"TSXV:COLS.P
Company: Colson Capital Corp.
(IQT536894858) - 9/12/2017",Operating
08/09/2018,Commerce Acquisition Corp.,Merger/Acquisition,Closed,Mimi's Rock Corp. (TSXV:MIMI),-,IQTR576964533,"TSXV:CAQ.P
Company: Commerce Acquisition Corp.
(IQT534532420) - 5/15/2018",Acquired
03/15/2019,Constellation Alpha Capital Corp.,Merger/Acquisition,Closed,"DermTech, Inc. (NasdaqCM:DMTK)","Centripetal, LLC; Cowen Investments II LLC",IQTR606520316,"NasdaqCM:DMTK
Company: Constellation Alpha Capital Corp.
(IQT534000883) - 8/10/2017",Acquired
12/22/2017,Contango Holdings PLC,Merger/Acquisition,Closed,Contango Holdings plc (LSE:CGO),-,IQTR547469240,"LSE:CGO
Company: Contango Holdings PLC
(IQT531811687) - 11/1/2017",Acquired
09/08/2020,Conyers Park II Acquisition Corp.,Merger/Acquisition,Closed,Advantage Solutions Inc. (NasdaqGS:ADV),-,IQTR687522390,"NasdaqCM:CPAA
Company: Conyers Park II Acquisition Corp.
(IQT628732920) - 9/9/2019",Acquired
01/20/2017,Cortina Capital Corp.,Merger/Acquisition,Closed,Ecolomondo Corporation (TSXV:ECM),-,IQTR417540221,"TSXV:CCN.P
Company: Cortina Capital Corp.
(IQT339631466) - 5/25/2016",Acquired
06/24/2020,Crescent Acquisition Corp. (NasdaqCM:CRSA),Merger/Acquisition,Cancelled,F45 Training Holdings Inc.,-,IQTR673443449,"NasdaqCM:CRSA
Company: Crescent Acquisition Corp.
(IQT604577719) - 4/18/2019",Operating
07/14/2020,Crystal Bridge Enterprises Inc. (TSXV:CRYS.P),Merger/Acquisition,Announced,"AlphaCognition, Inc.",-,IQTR677082355,"TSXV:CRYS.P
Company: Crystal Bridge Enterprises Inc.
(IQT571424154) - 9/21/2018",Operating
11/10/2016,CUP Capital Corp.,Merger/Acquisition,Closed,GBLT Corp. (TSXV:GBLT),-,IQTR409327857,"TSXV:CPU.P
Company: CUP Capital Corp.
(IQT330420016) - 4/8/2016",Acquired
08/19/2020,Cuspis Capital Ltd. (TSXV:CUSP.P),Merger/Acquisition,Announced,Graphene Manufacturing Group Pty Ltd.,-,IQTR684441278,"TSXV:CUSP.P
Company: Cuspis Capital Ltd.
(IQT595719575) - 3/13/2019",Operating
06/23/2017,"Daewoo Special Purpose Acquisition 3 Co., Ltd.",Merger/Acquisition,Cancelled,Mediogen co.Ltd.,"Daishin Asset Management Co., Ltd.",IQTR529365238,"KOSDAQ:A215580
Company: Daewoo Special Purpose Acquisition 3 Co., Ltd.
(IQT290845834) - 5/19/2015",Operating
06/26/2015,"Daewoo Special Purpose Acquisition 3 Co., Ltd.",Merger/Acquisition,Closed,"Daishin Asset Management Co., Ltd.",-,IQTR305000090,"KOSDAQ:A215580
Company: Daewoo Special Purpose Acquisition 3 Co., Ltd.
(IQT290845834) - 5/19/2015",Operating
03/09/2017,"Daishin Balance 2nd Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,-,"Daishin Securities Co., Ltd. (KOSE:A003540)",IQTR422939231,"KOSDAQ:A232140
Company: Daishin Balance 2nd Special Purpose Acquisition Co., Ltd.
(IQT317245050) - 12/24/2015",Acquired
01/17/2017,"Daishin Balance 2nd Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,-,"Daishin Securities Co., Ltd. (KOSE:A003540)",IQTR416619195,"KOSDAQ:A232140
Company: Daishin Balance 2nd Special Purpose Acquisition Co., Ltd.
(IQT317245050) - 12/24/2015",Acquired
01/09/2017,"Daishin Balance 2nd Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,-,Yurie asset Management Inc.,IQTR415637378,"KOSDAQ:A232140
Company: Daishin Balance 2nd Special Purpose Acquisition Co., Ltd.
(IQT317245050) - 12/24/2015",Acquired
09/29/2016,"Daishin Balance 2nd Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,YIK Corporation (KOSDAQ:A232140),"SBI Investment KOREA Co., Ltd. (KOSDAQ:A019550); KTB Asset Management Co., Ltd; Daishin Asset Management Co., Ltd.; Yurie asset Management Inc.; WOORI Asset Management Corp.",IQTR403653893,"KOSDAQ:A232140
Company: Daishin Balance 2nd Special Purpose Acquisition Co., Ltd.
(IQT317245050) - 12/24/2015",Acquired
12/17/2018,"Daishin Balance 4th Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Cancelled,"Softnyx Co., Ltd.",-,IQTR595538254,"KOSDAQ:A262830
Company: Daishin Balance 4th Special Purpose Acquisition Co., Ltd.
(IQT417725444) - 3/3/2017",Operating
06/22/2017,"Daishin Balance 4th Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Cancelled,"GTG Wellness Co., Ltd. (KOSDAQ:A219750)","Daishin Securities Co., Ltd. (KOSE:A003540); Daishin Asset Management Co., Ltd.; G.N.TECH Venture Capital Co., Ltd.",IQTR528534727,"KOSDAQ:A262830
Company: Daishin Balance 4th Special Purpose Acquisition Co., Ltd.
(IQT417725444) - 3/3/2017",Operating
03/23/2017,"Daishin Balance 4th Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,-,"Daishin Securities Co., Ltd. (KOSE:A003540)",IQTR424283252,"KOSDAQ:A262830
Company: Daishin Balance 4th Special Purpose Acquisition Co., Ltd.
(IQT417725444) - 3/3/2017",Operating
03/13/2017,"Daishin Balance 4th Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"Daishin Securities Co., Ltd. (KOSE:A003540)",-,IQTR423293487,"KOSDAQ:A262830
Company: Daishin Balance 4th Special Purpose Acquisition Co., Ltd.
(IQT417725444) - 3/3/2017",Operating
03/10/2017,"Daishin Balance 4th Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"G.N.TECH Venture Capital Co., Ltd.",-,IQTR423029494,"KOSDAQ:A262830
Company: Daishin Balance 4th Special Purpose Acquisition Co., Ltd.
(IQT417725444) - 3/3/2017",Operating
11/19/2018,"Daishin Balance No.5 Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"Zinitix Co.,Ltd (KOSDAQ:A303030)",SV Investment Corporation (KOSDAQ:A289080); SV Partners Co. Ltd.,IQTR591763752,"KOSDAQ:A303030
Company: Daishin Balance No.5 Special Purpose Acquisition Co., Ltd.
(IQT575224962) - 8/30/2018",Acquired
04/23/2019,Danacore Industries Inc.,Merger/Acquisition,Closed,Hire Technologies Inc. (TSXV:HIRE),-,IQTR611396146,"TSXV:DANA.P
Company: Danacore Industries Inc.
(IQT574337721) - 1/25/2019",Acquired
09/26/2018,DataMiners Capital Corp.,Merger/Acquisition,Closed,Zoomd Technologies Ltd. (TSXV:ZOMD),-,IQTR583404604,"TSXV:DMC.H
Company: DataMiners Capital Corp.
(IQT252226138) - 4/23/2015",Acquired
07/07/2015,DataMiners Capital Corp.,Merger/Acquisition,Cancelled,Steel Country Tubular Oilfield Inc.,-,IQTR306146749,"TSXV:DMC.H
Company: DataMiners Capital Corp.
(IQT252226138) - 4/23/2015",Acquired
10/10/2019,Daura Capital Corp. (TSXV:DUR.P),Merger/Acquisition,Announced,Estrella Gold S.A.C.,-,IQTR652588426,"TSXV:DUR.P
Company: Daura Capital Corp.
(IQT608591533) - 9/23/2019",Operating
09/06/2019,"DB Finance No.6 Special Acquisition Co., Ltd.",Merger/Acquisition,Closed,"Neontech Co., Ltd. (KOSDAQ:A306620)",-,IQTR646946401,"KOSDAQ:A306620
Company: DB Finance No.6 Special Acquisition Co., Ltd.
(IQT581673066) - 10/31/2018",Acquired
05/29/2020,"DB Finance No.7 Special Acquisition Co., Ltd. (KOSDAQ:A322780)",Merger/Acquisition,Announced,"Copus Korea Co.,Ltd.","Mirae Technology Investment Co.,Ltd.",IQTR688654559,"KOSDAQ:A322780
Company: DB Finance No.7 Special Acquisition Co., Ltd.
(IQT611790649) - 5/31/2019",Operating
05/12/2020,DC Acquisition Corp.,Merger/Acquisition,Closed,Kiaro Holdings Corp. (TSXV:KO),-,IQTR667855391,"TSXV:DCA.P
Company: DC Acquisition Corp.
(IQT560690731) - 8/2/2018",Acquired
02/11/2019,DC Acquisition Corp.,Merger/Acquisition,Cancelled,Mijem Inc.,-,IQTR601987999,"TSXV:DCA.P
Company: DC Acquisition Corp.
(IQT560690731) - 8/2/2018",Acquired
08/05/2019,DD3 Acquisition Corp.,Merger/Acquisition,Closed,"Betterware de Mexico, S.A.B. de C.V. (NasdaqCM:BWMX)",DD3 Mex Acquisition Corp,IQTR632024135,"NasdaqGM:DDMX
Company: DD3 Acquisition Corp.
(IQT587766208) - 1/2/2019",Acquired
05/30/2018,Derriston Capital Plc,Merger/Acquisition,Closed,S4 Capital plc (LSE:SFOR),-,IQTR568612126,"LSE:DERR
Company: Derriston Capital Plc
(IQT412395788) - 12/29/2016",Acquired
07/08/2019,DFB Healthcare Acquisitions Corp.,Merger/Acquisition,Closed,AdaptHealth Corp. (NasdaqCM:AHCO),-,IQTR628642283,"NasdaqCM:AHCO
Company: DFB Healthcare Acquisitions Corp.
(IQT559180253) - 5/24/2018",Acquired
12/23/2019,Diamond Eagle Acquisition Corp.,Merger/Acquisition,Closed,DraftKings Inc. (NasdaqGS:DKNG),-,IQTR648975350,"NasdaqCM:DEAC
Company: Diamond Eagle Acquisition Corp.
(IQT626868216) - 7/25/2019",Acquired
08/03/2020,DiamondPeak Holdings Corp.,Merger/Acquisition,Closed,Lordstown Motors Corp. (NasdaqGS:RIDE),-,IQTR681898853,"NasdaqCM:DPHC
Company: DiamondPeak Holdings Corp.
(IQT594817218) - 4/17/2019",Acquired
