All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Industry Classifications [Target/Issuer],Company Status [Target/Issuer],M&A Definitive Agreement Date
09/15/2020,Social Capital Hedosophia Holdings Corp. II (NYSE:IPOB),NYSE:IPOB,Merger/Acquisition,Announced,-,"Opendoor Labs, Inc.","Suvretta Capital Management, LLC; SCH Sponsor II LLC; AI LiquidRE LLC",IQTR688535762,Blank Checks (Primary),Operating,09/15/2020
09/15/2020,Baltic I Acquisition Corp. (TSXV:BLTC.P),TSXV:BLTC.P,Merger/Acquisition,Announced,-,Alpha Exploration Limited,-,IQTR688561320,Blank Checks (Primary),Operating,09/14/2020
09/11/2020,Pinehurst Capital II Inc. (TSXV:PINH.P),TSXV:PINH.P,Merger/Acquisition,Announced,-,1252201 B.C. Ltd.,-,IQTR688099462,Blank Checks (Primary),Operating,09/10/2020
09/09/2020,XIB I Capital Corp. (TSXV:XIB.P),TSXV:XIB.P,Merger/Acquisition,Announced,-,MR Exploration PNG Pte. Ltd,-,IQTR687643506,Blank Checks (Primary),Operating,11/12/2020
09/09/2020,RiseTech Capital Corp. (TSXV:RTCC.P),TSXV:RTCC.P,Merger/Acquisition,Announced,-,Tantalus Systems Corp.,-,IQTR687694531,Blank Checks (Primary),Operating,11/19/2020
09/04/2020,Bluerock Ventures Corp. (TSXV:BCR.H),TSXV:BCR.H,Merger/Acquisition,Announced,-,Tombill Mines Ltd.,-,IQTR687032866,Blank Checks (Primary),Operating,12/04/2020
09/03/2020,Evermount Ventures Inc. (TSXV:ETV.H),TSXV:ETV.H,Merger/Acquisition,Announced,-,Video Commerce Group Limited,-,IQTR686949277,Blank Checks (Primary),Operating,09/01/2020
09/02/2020,Flying Eagle Acquisition Corp. (NYSE:FEAC),NYSE:FEAC,Merger/Acquisition,Announced,-,Skillz Inc.,"Eagle Equity Partners, LLC",IQTR686617646,Blank Checks (Primary),Operating,09/01/2020
09/02/2020,Tottenham Acquisition I Limited (NasdaqCM:TOTA),NasdaqCM:TOTA,Merger/Acquisition,Announced,-,Clene Nanomedicine Inc.,-,IQTR686619435,Blank Checks (Primary),Operating,09/01/2020
09/01/2020,Schooner Capital Corp. (TSXV:SCH.P),TSXV:SCH.P,Merger/Acquisition,Announced,-,1201361 B.C. Ltd.,-,IQTR686504930,Blank Checks (Primary),Operating,10/27/2020
08/31/2020,LF Capital Acquisition Corp. (NasdaqCM:LFAC),NasdaqCM:LFAC,Merger/Acquisition,Announced,-,Landsea Homes Incorporated,"Bank of Montreal (TSX:BMO); BlackRock, Inc. (NYSE:BLK); Glazer Capital, LLC; AQR Capital Management, LLC; Hawkeye Capital Management, LLC; Weiss Asset Management LP; The Oxford Asset Management Company Limited; Periscope Capital Inc; Level Field Capital, LLC",IQTR686258394,Blank Checks (Primary),Operating,08/31/2020
08/31/2020,Perihelion Capital Ltd. (TSXV:PCL.P),TSXV:PCL.P,Merger/Acquisition,Announced,-,Think Technologies Corp.,-,IQTR686420540,Blank Checks (Primary),Operating,10/26/2020
08/31/2020,Quendale Capital Corp. (TSXV:QOC.P),TSXV:QOC.P,Merger/Acquisition,Announced,-,Prairie Storm Energy Corp.,-,IQTR686421281,Blank Checks (Primary),Operating,11/16/2020
08/27/2020,Pinehurst Capital I Inc. (TSXV:PHT.P),TSXV:PHT.P,Merger/Acquisition,Announced,-,Silver Bullet Mines Inc.,-,IQTR685773390,Blank Checks (Primary),Operating,11/12/2020
08/26/2020,Trine Acquisition Corp. (NYSE:TRNE),NYSE:TRNE,Merger/Acquisition,Announced,-,"Desktop Metal, Inc.",-,IQTR685445893,Blank Checks (Primary),Operating,08/26/2020
08/21/2020,Shinhan 5th Special Purpose Acquisition Company (KOSDAQ:A323230),KOSDAQ:A323230,Merger/Acquisition,Announced,-,"Mfm Korea Co., Ltd. (XKON:A251960)",CENTROID Investment Partners,IQTR684707121,Blank Checks (Primary),Operating,06/05/2020
08/18/2020,Hennessy Capital Acquisition Corp. IV (NasdaqCM:HCAC),NasdaqCM:HCAC,Merger/Acquisition,Announced,-,Canoo Holdings Ltd.,-,IQTR684209832,Blank Checks (Primary),Operating,08/17/2020
08/18/2020,Buckhaven Capital Corp. (TSXV:BKH.P),TSXV:BKH.P,Merger/Acquisition,Announced,-,"1254688 B.C. Ltd./Ag-Mining Investments, AB",-,IQTR684242797,Blank Checks (Primary),Operating,10/30/2020
08/17/2020,Brachium Capital Corp. (TSXV:BRAC.P),TSXV:BRAC.P,Merger/Acquisition,Announced,-,WeCommerce Holdings Ltd.,-,IQTR684162324,Blank Checks (Primary),Operating,11/25/2020
08/12/2020,Freeform Capital Partners Inc. (TSXV:FRM.P),TSXV:FRM.P,Merger/Acquisition,Announced,-,Bayshore Minerals Inc.,-,IQTR683386470,Blank Checks (Primary),Operating,08/31/2020
08/11/2020,"Nh Special Purpose Acquisition 14 Co., Ltd. (KOSDAQ:A319400)",KOSDAQ:A319400,Merger/Acquisition,Announced,-,"Hyundai Movex Co., Ltd.",-,IQTR683328222,Blank Checks (Primary),Operating,08/11/2020
08/07/2020,IBKS No.12 Special Purpose Acquisition Company (KOSDAQ:A335870),KOSDAQ:A335870,Merger/Acquisition,Cancelled,-,"Axgate Co., Ltd.",-,IQTR682566985,Blank Checks (Primary),Operating,08/07/2020
08/07/2020,BuzBuz Capital Corp. (TSXV:BZBZ.P),TSXV:BZBZ.P,Merger/Acquisition,Announced,-,Inolife R&D Inc.,-,IQTR682990424,Blank Checks (Primary),Operating,10/01/2020
08/06/2020,Megalith Financial Acquisition Corp. (NYSE:MFAC),NYSE:MFAC,Merger/Acquisition,Announced,-,BankMobile,-,IQTR682533478,Blank Checks (Primary),Operating,08/06/2020
08/04/2020,BB1 Acquisition Corp. (TSXV:BBA.P),TSXV:BBA.P,Merger/Acquisition,Announced,-,Cerrado Gold Inc.,-,IQTR682086897,Blank Checks (Primary),Operating,11/29/2020
07/31/2020,PropTech Acquisition Corporation (NasdaqCM:PTAC),NasdaqCM:PTAC,Merger/Acquisition,Announced,-,"Porch.com, Inc.",-,IQTR681299530,Blank Checks (Primary),Operating,07/30/2020
07/31/2020,"Bioethics, Ltd. (OTCPK:BOTH)",OTCPK:BOTH,Merger/Acquisition,Announced,-,"XCR Diagnostics, Inc.",-,IQTR681877647,Blank Checks (Primary),Operating,11/30/2020
07/30/2020,Cluny Capital Corp. (TSXV:CLN.H),TSXV:CLN.H,Merger/Acquisition,Announced,-,Teonan Biomedical Inc.,-,IQTR681167335,Blank Checks (Primary),Operating,11/03/2020
07/29/2020,Kismet Resources Corp. (TSXV:KSMT.P),TSXV:KSMT.P,Merger/Acquisition,Announced,-,TDG Gold Corp.,-,IQTR681087832,Blank Checks (Primary),Operating,09/28/2020
07/28/2020,Whatcom Capital Corp. (TSXV:WHAT.P),TSXV:WHAT.P,Merger/Acquisition,Announced,-,NEXE Innovations Inc.,-,IQTR680940520,Blank Checks (Primary),Operating,08/11/2020
07/27/2020,"dMY Technology Group, Inc. (NYSE:DMYT)",NYSE:DMYT,Merger/Acquisition,Announced,-,"Rush Street Interactive, LP",-,IQTR678983208,Blank Checks (Primary),Operating,07/27/2020
07/27/2020,Antera Ventures I Corp. (TSXV:ANTI.P),TSXV:ANTI.P,Merger/Acquisition,Announced,-,Wishpond Technologies Ltd.,-,IQTR679134250,Blank Checks (Primary),Operating,09/10/2020
07/23/2020,Seashore Resource Partners Corp. (TSXV:SSH.P),TSXV:SSH.P,Merger/Acquisition,Announced,-,Kingfisher Resources Ltd.,-,IQTR678390909,Blank Checks (Primary),Operating,09/24/2020
07/21/2020,Tenzing Acquisition Corp. (NasdaqCM:TZAC),NasdaqCM:TZAC,Merger/Acquisition,Announced,-,"Reviva Pharmaceuticals, Inc.",-,IQTR677870197,Blank Checks (Primary),Operating,07/20/2020
07/20/2020,First Light Capital Corp (TSXV:XYZ.P),TSXV:XYZ.P,Merger/Acquisition,Closed, 0.074 ,Anacortes Management Ltd.,-,IQTR677738759,Blank Checks (Primary),Operating,06/17/2020
07/15/2020,IBKS No.14 Special Purpose Acquisition Company (KOSDAQ:A351320),KOSDAQ:A351320,Merger/Acquisition,Cancelled,-,"Axgate Co., Ltd.",-,IQTR677832714,Blank Checks (Primary),Operating,07/15/2020
07/14/2020,Crystal Bridge Enterprises Inc. (TSXV:CRYS.P),TSXV:CRYS.P,Merger/Acquisition,Announced,-,"AlphaCognition, Inc.",-,IQTR677082355,Blank Checks (Primary),Operating,10/27/2020
07/03/2020,"Korea No.7 Special Purpose Acquisition Co., Ltd. (KOSDAQ:A291210)",KOSDAQ:A291210,Merger/Acquisition,Cancelled,-,Assems Inc.,-,IQTR674938356,Blank Checks (Primary),Operating,07/03/2020
06/29/2020,"NH Special Purpose Acquisition 13 Co., Ltd. (KOSDAQ:A310840)",KOSDAQ:A310840,Merger/Acquisition,Cancelled,-,"Angiolab, Inc. (XKON:A251280)",BNK Venture Investment,IQTR674198044,Blank Checks (Primary),Operating,06/29/2020
06/29/2020,"Landcadia Holdings II, Inc. (NasdaqCM:LCA)",NasdaqCM:LCA,Merger/Acquisition,Announced,-,"Golden Nugget Online Gaming, Inc.",-,IQTR674199538,Blank Checks (Primary),Operating,06/28/2020
06/29/2020,Good2Go2 Corp. (TSXV:GOAL.P),TSXV:GOAL.P,Merger/Acquisition,Announced,-,Canadian Teleradiology Services Inc.,-,IQTR674317844,Blank Checks (Primary),Operating,07/15/2020
06/25/2020,Hi Special Purpose Acquisition Company IV (KOSDAQ:A317240),KOSDAQ:A317240,Merger/Acquisition,Announced,-,"TS Trillion Co., Ltd. (XKON:A284610)","Samsung Securities Co.,Ltd., Asset Management Arm",IQTR673691524,Blank Checks (Primary),Operating,06/25/2020
06/24/2020,Crescent Acquisition Corp. (NasdaqCM:CRSA),NasdaqCM:CRSA,Merger/Acquisition,Cancelled,-,F45 Training Holdings Inc.,-,IQTR673443449,Blank Checks (Primary),Operating,06/24/2020
06/08/2020,HL Acquisitions Corp. (NasdaqCM:HCCH),NasdaqCM:HCCH,Merger/Acquisition,Announced,-,"Fusion Welcome-Fuel, S.A.",-,IQTR671569273,Blank Checks (Primary),Operating,06/06/2020
06/04/2020,PKS Capital Corp. (TSXV:PKS.P),TSXV:PKS.P,Merger/Acquisition,Announced,-,Horizon Gold Ltd,-,IQTR671191622,Blank Checks (Primary),Operating,08/07/2020
06/02/2020,Red River Capital Corp. (TSXV:XBT.P),TSXV:XBT.P,Merger/Acquisition,Announced,-,Bitcoin Solutions,-,IQTR670906372,Blank Checks (Primary),Operating,09/11/2020
05/29/2020,"DB Finance No.7 Special Acquisition Co., Ltd. (KOSDAQ:A322780)",KOSDAQ:A322780,Merger/Acquisition,Announced,-,"Copus Korea Co.,Ltd.","Mirae Technology Investment Co.,Ltd.",IQTR688654559,Blank Checks (Primary),Operating,05/29/2020
05/27/2020,Vincero Capital Corp. (TSXV:VCO.P),TSXV:VCO.P,Merger/Acquisition,Announced,-,"Certain Worldwide Rights of NewGen Therapeutics, Inc.",-,IQTR669491231,Blank Checks (Primary),Operating,08/28/2020
05/27/2020,Aumento Capital VII Corporation (TSXV:AUOC.P),TSXV:AUOC.P,Merger/Acquisition,Announced, 0.025 ,Paul Pathak Professional Corporation,-,IQTR669496817,Blank Checks (Primary),Operating,05/27/2020
05/19/2020,Aumento Capital VII Corporation (TSXV:AUOC.P),TSXV:AUOC.P,Merger/Acquisition,Announced,-,EMERGE Commerce Inc.,-,IQTR668607701,Blank Checks (Primary),Operating,08/19/2020
05/15/2020,Tailwind Capital Corporation (TSXV:TW.P),TSXV:TW.P,Merger/Acquisition,Announced,-,Kairos Metals Corp.,-,IQTR668280540,Blank Checks (Primary),Operating,08/10/2020
05/13/2020,Elephant Hill Capital Inc. (TSXV:EH.P),TSXV:EH.P,Merger/Acquisition,Announced,-,Esports Ltd,-,IQTR667876431,Blank Checks (Primary),Operating,11/02/2020
05/13/2020,Panorama Capital Corp. (TSXV:PANO.P),TSXV:PANO.P,Merger/Acquisition,Announced,-,"Avisa Pharma, Inc.",-,IQTR667951640,Blank Checks (Primary),Operating,06/17/2020
05/12/2020,AF1 Capital Corp. (TSXV:AFC.P),TSXV:AFC.P,Merger/Acquisition,Announced,-,"PureKana, LLC",-,IQTR667853750,Blank Checks (Primary),Operating,11/20/2020
05/06/2020,Kapa Capital Inc. (TSXV:KAPA.P),TSXV:KAPA.P,Merger/Acquisition,Announced,-,Quantus Resources Corp.,-,IQTR666989304,Blank Checks (Primary),Operating,09/22/2020
04/20/2020,Auston Capital Corp. (TSXV:ASTN.P),TSXV:ASTN.P,Merger/Acquisition,Announced,-,"Diagnostic Lab Corporation, Inc.",-,IQTR664915334,Blank Checks (Primary),Operating,06/10/2020
02/21/2020,Jinhua Capital Corporation (TSXV:JHC.H),TSXV:JHC.H,Merger/Acquisition,Cancelled,-,Santa Marta Life Sciences Corp.,-,IQTR655790805,Blank Checks (Primary),Operating,02/19/2020
02/19/2020,A-Labs Capital I Corp. (TSXV:ALBS.P),TSXV:ALBS.P,Merger/Acquisition,Announced,-,BTC Corporation Holdings Pty Ltd.,-,IQTR655541422,Blank Checks (Primary),Operating,02/18/2020
02/04/2020,Antler Hill Mining Ltd. (TSXV:AHM.H),TSXV:AHM.H,Merger/Acquisition,Announced,-,Rockford Mining Ltd.,-,IQTR653520843,Blank Checks (Primary),Operating,02/03/2020
01/13/2020,Smartset Services Inc. (TSXV:SMAR.P),TSXV:SMAR.P,Merger/Acquisition,Closed, 0.019 ,-,-,IQTR650903286,Blank Checks (Primary),Operating,01/13/2020
12/27/2019,Leisure Acquisition Corp. (NasdaqCM:LACQ),NasdaqCM:LACQ,Merger/Acquisition,Cancelled,-,Gateway Casinos & Entertainment Limited,-,IQTR649466545,Blank Checks (Primary),Operating,12/27/2019
12/20/2019,Hana Financial Fourteen Special Purpose Acquisition Company (KOSDAQ:A332710),KOSDAQ:A332710,Merger/Acquisition,Cancelled,-,"Shin Steel Co.,Ltd.","SSI Investment Co., Ltd.",IQTR650448797,Blank Checks (Primary),Operating,12/20/2019
12/09/2019,Monocle Acquisition Corporation (NasdaqCM:MNCL),NasdaqCM:MNCL,Merger/Acquisition,Announced,-,AerSale Inc.,-,IQTR647616604,Blank Checks (Primary),Operating,12/08/2019
12/05/2019,"Yuanta 5 SPECIAL PURPOSE ACQUISITION CO., LTD. (KOSDAQ:A336060)",KOSDAQ:A336060,Merger/Acquisition,Closed, 0.219 ,"Shinhan Investment Corp., Investment Arm",-,IQTR647587774,Blank Checks (Primary),Operating,11/28/2019
11/21/2019,AmWolf Capital Corp. (TSXV:AMW.P),TSXV:AMW.P,Merger/Acquisition,Announced,-,Pontus Water Lentils Ltd.,-,IQTR645177418,Blank Checks (Primary),Operating,07/28/2020
11/18/2019,Inceptus Capital Ltd. (TSXV:ICI.P),TSXV:ICI.P,Merger/Acquisition,Announced,-,"Alpha K-9 Technologies, Inc.",-,IQTR644708433,Blank Checks (Primary),Operating,08/28/2020
11/08/2019,Allegro Merger Corp.,-,Merger/Acquisition,Cancelled,-,TGI Friday's Inc.,-,IQTR643559081,Blank Checks (Primary),Operating,11/08/2019
10/28/2019,Farstarcap Investment Corp. (TSXV:FRS.P),TSXV:FRS.P,Merger/Acquisition,Cancelled,-,A4 Systems Corporation,-,IQTR641980782,Blank Checks (Primary),Operating,10/25/2019
10/15/2019,Hoist Capital Corp. (TSXV:HTE.P),TSXV:HTE.P,Merger/Acquisition,Cancelled,-,BTC Corporation Holdings Pty Ltd.,-,IQTR640608866,Blank Checks (Primary),Operating,01/05/2020
10/01/2019,Rebel Capital 2.0 Corp. (TSXV:RBZ.P),TSXV:RBZ.P,Merger/Acquisition,Cancelled,-,Alzex Biomedical Group Inc.,-,IQTR639016311,Blank Checks (Primary),Operating,01/03/2020
10/01/2019,Cairo Resources Inc. (TSXV:QAI.H),TSXV:QAI.H,Merger/Acquisition,Cancelled,-,Swarmio Inc.,-,IQTR639070491,Blank Checks (Primary),Operating,09/30/2019
09/26/2019,Drummond Ventures Corp. (TSXV:DVX.P),TSXV:DVX.P,Merger/Acquisition,Announced,-,"Sun Machine Entertainment, Inc.",-,IQTR638515945,Blank Checks (Primary),Operating,12/02/2019
09/12/2019,Spactiv S.p.A.,-,Merger/Acquisition,Cancelled,-,Betty Blue S.P.A.,-,IQTR636781059,Blank Checks (Primary),Operating,09/12/2019
08/29/2019,Cluny Capital Corp. (TSXV:CLN.H),TSXV:CLN.H,Merger/Acquisition,Cancelled,-,Xebra Brands Ltd.,-,IQTR635150079,Blank Checks (Primary),Operating,02/14/2020
08/02/2019,Zhong Yuan Bio-Technology Holdings Limited,-,Merger/Acquisition,Closed,-,Zhong Yuan Bio-Technology Holdings Limited,-,IQTR636262964,Blank Checks (Primary),Operating,07/30/2019
07/30/2019,OV2 Investment 1 Inc.,-,Merger/Acquisition,Cancelled,-,Freightera Logistics Inc.,-,IQTR631480821,Blank Checks (Primary),Operating,08/30/2019
07/11/2019,Karsten Energy Corp. (TSXV:KAY.H),TSXV:KAY.H,Merger/Acquisition,Closed, 0.076 ,-,-,IQTR629139572,Blank Checks (Primary),Operating,07/10/2019
07/03/2019,"Hanwha Susung Special Purpose Acquisition CO., LTD.",-,Merger/Acquisition,Cancelled,-,"Grex Co., Ltd.",-,IQTR635969306,Blank Checks (Primary),Operating,07/03/2019
06/20/2019,Timeless Capital Corp.,-,Merger/Acquisition,Cancelled,-,CannaVerde Pharma Inc.,-,IQTR623235965,Blank Checks (Primary),Operating,08/21/2019
06/18/2019,CE Brands Inc. (TSXV:CEBI.P),TSXV:CEBI.P,Merger/Acquisition,Announced,-,eBuyNow eCommerce Limited,-,IQTR622864423,Blank Checks (Primary),Operating,03/12/2020
06/13/2019,Castlecap Capital Inc. (TSXV:CSTL.P),TSXV:CSTL.P,Merger/Acquisition,Cancelled,-,Plexus Technology Corp.,-,IQTR621078982,Blank Checks (Primary),Operating,08/27/2019
06/13/2019,Allante Resources Ltd. (TSXV:ALL.H),TSXV:ALL.H,Merger/Acquisition,Announced,-,World Copper Ltd.,-,IQTR621189726,Blank Checks (Primary),Operating,02/28/2020
06/10/2019,Skyscape Capital Inc. (TSXV:SKY.P),TSXV:SKY.P,Merger/Acquisition,Announced,-,PesoRama Inc.,-,IQTR620344388,Blank Checks (Primary),Operating,07/23/2019
06/05/2019,Savanna Capital Corp. (TSXV:SAC.P),TSXV:SAC.P,Merger/Acquisition,Cancelled,-,Varianz Corp.,-,IQTR618739746,Blank Checks (Primary),Operating,08/30/2019
02/27/2019,Spinnaker Opportunities Plc (LSE:SOP),LSE:SOP,Merger/Acquisition,Announced,-,Kanabo Research LTD,-,IQTR604487915,Blank Checks (Primary),Operating,12/02/2019
01/24/2019,BB1 Acquisition Corp. (TSXV:BBA.P),TSXV:BBA.P,Merger/Acquisition,Cancelled,-,PLANTEXT Ltd.,-,IQTR599818807,Blank Checks (Primary),Operating,08/16/2019
01/23/2019,ECC Ventures 2 Corp. (TSXV:ETWO.P),TSXV:ETWO.P,Merger/Acquisition,Cancelled,-,-,-,IQTR599415947,Blank Checks (Primary),Operating,09/13/2019
01/17/2019,IBKS No.7 Special Purpose Acquisition Company,-,Merger/Acquisition,Cancelled,-,"NSCompany Co., Ltd. (XKON:A224760)",-,IQTR598702698,Blank Checks (Primary),Operating,01/17/2019
12/17/2018,"Daishin Balance 4th Special Purpose Acquisition Co., Ltd.",-,Merger/Acquisition,Cancelled,-,"Softnyx Co., Ltd.",-,IQTR595538254,Blank Checks (Primary),Operating,12/17/2018
12/17/2018,"Sangsangin Ian No.1 Special Purpose Acquisition Co., Ltd. (KOSDAQ:A307870)",KOSDAQ:A307870,Merger/Acquisition,Closed, 1.93 ,-,"Sangsangin Investment & Securities Co.,Ltd. (KOSE:A001290)",IQTR595658753,Blank Checks (Primary),Operating,12/12/2018
11/20/2018,"Entest Group, Inc. (OTCPK:ETNI)",OTCPK:ETNI,Merger/Acquisition,Closed, 0.325 ,-,"Bio-Technology Partners Business Trust; Regen BioPharma, Inc. (OTCPK:RGBP); Dunhill Ross Partners, Inc.; Bostonia Partners, Inc.",IQTR592083529,Blank Checks (Primary),Operating,11/15/2018
10/28/2018,Ideami S.p.A.,-,Merger/Acquisition,Cancelled,-,A.Agrati S.p.A.,DeA Capital S.p.A. (BIT:DEA); Banca IMI S.p.A.,IQTR597581080,Blank Checks (Primary),Operating,10/28/2018
10/19/2018,"Atlantic Acquisition II, Inc.",-,Merger/Acquisition,Cancelled,-,The Perfectly Green Corporation,-,IQTR587466339,Blank Checks (Primary),Operating,10/18/2018
09/21/2018,Tailwind Capital Corporation (TSXV:TW.P),TSXV:TW.P,Merger/Acquisition,Cancelled,-,"Synergy Disc Replacement, Inc.",-,IQTR582338489,Blank Checks (Primary),Operating,01/14/2019
07/09/2018,"Vigilant Diversified Holdings, Inc.",-,Merger/Acquisition,Closed,-,"Intercap Partners, LLC",Vigil & Vigil Investments LLC,IQTR573434619,Blank Checks (Primary),Operating,06/30/2018
07/09/2018,"Vigilant Diversified Holdings, Inc.",-,Merger/Acquisition,Closed,-,"MT Capital Partners, LLC","Intercap Partners, LLC",IQTR573437240,Blank Checks (Primary),Operating,06/30/2018
07/02/2018,Hi Ai 1st Special Purpose Acquisition Company,-,Merger/Acquisition,Cancelled,-,BA Entertainment Co. Ltd.,-,IQTR573434614,Blank Checks (Primary),Operating,07/02/2018
06/12/2018,"Yuanta 3 SPECIAL PURPOSE ACQUISITION CO., LTD. (KOSDAQ:A287410)",KOSDAQ:A287410,Merger/Acquisition,Closed, 0.849 ,-,"Yuanta Securities Korea Co., Ltd., Investment Arm",IQTR571373867,Blank Checks (Primary),Operating,06/05/2018
06/05/2018,Colson Capital Corp. (TSXV:COLS.P),TSXV:COLS.P,Merger/Acquisition,Cancelled,-,Honest Inc.,-,IQTR569829160,Blank Checks (Primary),Operating,09/17/2018
05/22/2018,Datinvest International Ltd. (TSXV:DAI.H),TSXV:DAI.H,Merger/Acquisition,Cancelled,-,Exxel Pharma Inc.,-,IQTR566915584,Blank Checks (Primary),Operating,06/06/2018
05/18/2018,Papillon Holdings Plc,-,Merger/Acquisition,Announced,-,CarCloud Limited,-,IQTR630620882,Blank Checks (Primary),Operating,12/21/2018
05/15/2018,Predictive Health Analytics Inc.,-,Merger/Acquisition,Cancelled,-,"LionsGate Technologies, Inc.",-,IQTR565962821,Blank Checks (Primary),Operating,12/15/2017
05/01/2018,Arkadia Capital Corp.,-,Merger/Acquisition,Cancelled,-,Capexco Inc.,-,IQTR561467402,Blank Checks (Primary),Operating,05/01/2018
04/04/2018,"Bally, Corp. (OTCPK:BLYQ)",OTCPK:BLYQ,Merger/Acquisition,Closed, 0.36 ,-,"Aureas Capital Co., Ltd.; NYJJ Investments Limited",IQTR558168019,Blank Checks (Primary),Operating,04/04/2018
01/09/2018,Barington/Hilco Acquisition Corp.,-,Merger/Acquisition,Effective,-,"Sweiss Ventures, LLC; Pla 99, LLC; BAG Spac 1, LLC; DMZ1 Holdings, LLC; Oreva Partners, LLC","Hilco Merchant Resources LLC; Barington Companies Advisors, LLC",IQTR548982643,Blank Checks (Primary),Operating,01/03/2018
11/30/2017,"Hanwha Ace  Special Purpose Acquisition 4th CO., LTD.",-,Merger/Acquisition,Closed,-,"With Investment Co., Ltd.",-,IQTR545413415,Blank Checks (Primary),Operating,11/30/2017
11/29/2017,"Hanwha Ace  Special Purpose Acquisition 4th CO., LTD.",-,Merger/Acquisition,Closed,-,Yurie asset Management Inc.,-,IQTR545256297,Blank Checks (Primary),Operating,11/29/2017
11/27/2017,CT Developers Ltd. (TSXV:DEV.H),TSXV:DEV.H,Merger/Acquisition,Cancelled,-,Clinical Blockchain Data Services,-,IQTR545016231,Blank Checks (Primary),Operating,08/21/2018
11/27/2017,"Hanwha Ace Special Purpose Acquisition 3rd Co., Ltd.",-,Merger/Acquisition,Closed,-,-,"Aurum Asset Management Co., Ltd.",IQTR545055828,Blank Checks (Primary),Operating,11/27/2017
11/24/2017,"Po Yuen Cultural Holdings (Hong Kong) Co., Ltd. (OTCPK:POYN)",OTCPK:POYN,Merger/Acquisition,Closed,-,-,-,IQTR549245327,Blank Checks (Primary),Operating,11/22/2017
11/21/2017,Monetiva Inc.,-,Merger/Acquisition,Closed,-,-,-,IQTR545229370,Blank Checks (Primary),Operating,11/01/2017
10/02/2017,"CRTM Holdings Co., Ltd.",-,Merger/Acquisition,Closed,-,Integral Corporation,"Advantage Partners, Inc.",IQTR539577553,Blank Checks (Primary),Operating,09/29/2017
09/14/2017,China King Spirit Group Ltd.,-,Merger/Acquisition,Closed,-,W.P. Acquisition Co,-,IQTR537535627,Blank Checks (Primary),Operating,09/08/2017
09/05/2017,Wangton Capital Corp. (TSXV:WT.H),TSXV:WT.H,Merger/Acquisition,Cancelled,-,TAOR D.O.O.,-,IQTR536541580,Blank Checks (Primary),Operating,09/22/2017
07/28/2017,"Goldenbridge No.2 Special Purpose Acquisition Co., LTD.",-,Merger/Acquisition,Cancelled,-,"Entermedia Co.,Ltd.","Daishin Asset Management Co., Ltd.; KTB Private Equity; Synergy IB Investment Co., Ltd.",IQTR532769246,Blank Checks (Primary),Operating,07/28/2017
07/27/2017,Origo Acquisition Corporation,-,Merger/Acquisition,Cancelled,-,Hightimes Holding Corp.,"EarlyBirdCapital, Inc.; Bulldog Investors, LLC; Fortress Biotech, Inc. (NasdaqCM:FBIO)",IQTR532450353,Blank Checks (Primary),Operating,07/24/2017
07/26/2017,Five Seasons XXII Pte. Ltd.,-,Merger/Acquisition,Closed, 79.83 ,Fullshare Investment Management II Limited,Fullshare Holdings Limited (SEHK:607),IQTR532393581,Blank Checks (Primary),Operating,07/26/2017
07/11/2017,"Miraeasset No.3 SPAC Co.,Ltd.",-,Merger/Acquisition,Cancelled,-,Real Yagu Zone Co. Ltd.,-,IQTR530230428,Blank Checks (Primary),Operating,07/11/2017
06/28/2017,Tikun Olam - Cannbit Pharmaceuticals Ltd (TASE:TKUN),TASE:TKUN,Merger/Acquisition,Closed, 0.143 ,Apex Capital Markets Ltd.,"Apex Issuances, Investment arm",IQTR529091944,Blank Checks,Operating,06/28/2017
06/27/2017,SMSA Crane Acquisition Corp. (OTCPK:SSCR),OTCPK:SSCR,Merger/Acquisition,Closed, 0.25 ,-,"Coquí RadioPharmaceuticals, Corp.",IQTR528567095,Blank Checks (Primary),Operating,06/26/2017
06/23/2017,Kyobo 5 Special Purpose Acquisition Company,-,Merger/Acquisition,Cancelled,-,"Namu Tech Co.,Ltd. (KOSDAQ:A242040)","Medici Investment Co., Ltd.",IQTR528730162,Blank Checks (Primary),Operating,06/23/2017
06/23/2017,"Daewoo Special Purpose Acquisition 3 Co., Ltd.",-,Merger/Acquisition,Cancelled,-,Mediogen co.Ltd.,"Daishin Asset Management Co., Ltd.",IQTR529365238,Blank Checks (Primary),Operating,06/23/2017
06/22/2017,"Daishin Balance 4th Special Purpose Acquisition Co., Ltd.",-,Merger/Acquisition,Cancelled,-,"GTG Wellness Co., Ltd. (KOSDAQ:A219750)","Daishin Securities Co., Ltd. (KOSE:A003540); Daishin Asset Management Co., Ltd.; G.N.TECH Venture Capital Co., Ltd.",IQTR528534727,Blank Checks (Primary),Operating,06/22/2017
06/21/2017,"Woori Special Purpose Acquisition 1 Co., Ltd.",-,Merger/Acquisition,Cancelled,-,"HUMANSCAN Co., Ltd.",SL Investment,IQTR435132521,Blank Checks (Primary),Operating,06/21/2017
